Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Loss                     Critic_Loss              Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Disc_Loss                Disc_Grad_Penalty        Disc_Agent_Acc           Disc_Demo_Acc            Disc_Agent_Logit         Disc_Demo_Logit          Disc_Logit_Loss          Disc_Weight_Decay        Adv_Mean                 Adv_Std                  Disc_Reward_Mean         Disc_Reward_Std          Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob                 
0                        0.006244458986653222     65536                    53.30128479003906        384.61297607421875       2312                     5.120150804519653        22.596099853515625       287                      10.863925457000732       8.243496894836426        -0.009346890728920698    0.07882385328412056      0.9998113512992859       0.0                      0.5259549021720886       0.02248282916843891      0.8258850276470184       0.9952881038188934       -1.0057522654533386      1.2471176385879517       3.8448338508605957       395.1960144042969        0.0930013656616211       2.907194137573242        0.9419629275798798       0.8447446823120117       0.3328675329685211       0.38466498255729675      1.0                      
100                      0.06753438303867976      6619136                  60.47613525390625        408.8177185058594        2248                     55.525346755981445       332.26075744628906       18153                    6.615731477737427        4.538209438323975        -0.0159831577911973      0.09190063551068306      0.9997106194496155       0.0                      0.41870102286338806      0.022700613364577293     0.9827881157398224       0.996612548828125        -1.391541600227356       1.4945547580718994       2.8299062252044678       393.2146911621094        0.09486951678991318      2.1480166912078857       0.5646289885044098       0.34165316820144653      0.33206281065940857      0.3826662600040436       1.0                      
200                      0.12779554545879362      13172736                 63.36246681213379        445.28038024902344       2177                     63.04214286804199        375.6857452392578        16005                    6.121196269989014        4.041513085365295        -0.019844630820443854    0.08357544243335724      1.0002230405807495       0.0                      0.4199056923389435       0.02244950272142887      0.9862610101699829       0.993853747844696        -1.3711205124855042      1.432371199131012        2.143162250518799        391.5370178222656        -0.2305639684200287      2.027331590652466        0.5317777693271637       0.27226001024246216      0.33132410049438477      0.3811805248260498       1.0                      
300                      0.18483653174506293      19726336                 74.17287826538086        473.1363067626953        2147                     78.58745193481445        426.6987609863281        14262                    5.70086145401001         3.578813076019287        -0.01924241241067648     0.10045165941119194      0.9995292127132416       8.222163661031345e-08    0.4282580614089966       0.023546434938907623     0.9873290956020355       0.995819091796875        -1.3109313249588013      1.342339038848877        1.703347086906433        390.15496826171875       -0.11078253388404846     1.924425482749939        0.5360710322856903       0.2353178784251213       0.3314327895641327       0.37967386841773987      1.0                      
400                      0.24061730073557958      26279936                 78.87133026123047        491.9352264404297        2122                     93.6860237121582         454.1357879638672        13388                    5.858306169509888        3.7044280767440796       -0.021172523964196444    0.09339600056409836      0.999727725982666        6.517708541764478e-07    0.4350101053714752       0.023791499435901642     0.989178478717804        0.9978332817554474       -1.2792997360229492      1.2855859994888306       1.4234460592269897       388.9832458496094        -0.046074070036411285    1.9468387365341187       0.5550495386123657       0.21066194772720337      0.331998348236084        0.37871819734573364      1.0                      
500                      0.2960212309161822       32833536                 79.40645980834961        519.0914001464844        2098                     95.76153564453125        464.99627685546875       13081                    5.04784893989563         2.8499401807785034       -0.017232331912964582    0.09072265774011612      0.9995311498641968       3.6984184870192394e-07   0.4430281072854996       0.023593918420374393     0.990704357624054        0.9970764219760895       -1.2275114059448242      1.2448971271514893       1.2091225385665894       387.804443359375         -0.026606131345033646    1.7047301530838013       0.5982577204704285       0.17681638151407242      0.3324735164642334       0.3776559829711914       1.0                      
600                      0.3507060507602162       39387136                 78.90904235839844        506.58270263671875       2098                     92.63534927368164        470.23394775390625       12986                    7.159770727157593        4.932173490524292        -0.01923015620559454     0.11254577711224556      1.0000821352005005       5.509304855877417e-06    0.44936563074588776      0.022908560000360012     0.991363525390625        0.9968505799770355       -1.199833333492279       1.195471704006195        1.0644439458847046       386.69464111328125       -0.35880914330482483     2.273561954498291        0.5862917006015778       0.1954769268631935       0.33293798565864563      0.37616586685180664      1.0                      
700                      0.40707643386390474      45940736                 77.9591293334961         490.82862854003906       2131                     92.75130844116211        475.2955627441406        12826                    6.6913135051727295       4.429621458053589        -0.016653405036777258    0.156768798828125        1.00039142370224         9.106961442739703e-06    0.4556690752506256       0.022914757952094078     0.9917968809604645       0.9956116080284119       -1.1925536394119263      1.1446025371551514       0.9754033088684082       385.6552734375           -0.29417088627815247     2.1956958770751953       0.56514573097229         0.22560427337884903      0.33345791697502136      0.37484976649284363      1.0                      
800                      0.46093884401851226      52494336                 78.96894454956055        519.2754821777344        2094                     96.65534591674805        486.3399963378906        12585                    6.264029026031494        3.9128382205963135       -0.01730272499844432     0.09174499660730362      0.9999698400497437       7.037941941234749e-06    0.47369883954524994      0.022583802230656147     0.993176281452179        0.9961792230606079       -1.0586673021316528      1.121033251285553        0.8921244740486145       384.5654296875           0.08250529319047928      2.0025644302368164       0.6741704344749451       0.1717831864953041       0.33390888571739197      0.37333476543426514      1.0                      
900                      0.5134622775514921       59047936                 78.13603591918945        513.1886901855469        2088                     96.86641311645508        488.79820251464844       12534                    6.564267873764038        4.238992214202881        -0.01276107830926776     0.11750183254480362      0.999657928943634        9.39844103413634e-05     0.46760745346546173      0.022293410263955593     0.9927551448345184       0.9874450862407684       -1.1201395392417908      1.1194469928741455       0.8454520106315613       383.52960205078125       -0.29478174448013306     2.1026508808135986       0.5886979401111603       0.18676098436117172      0.33421680331230164      0.3718052804470062       1.0                      
1000                     0.5659313333696789       65601536                 82.08605575561523        494.26377868652344       2132                     100.04778671264648       496.6953887939453        12305                    7.384106397628784        5.060037612915039        -0.01187388808466494     0.08179626613855362      1.0002334713935852       1.734200168357347e-05    0.4671884924173355       0.022449222393333912     0.9924682676792145       0.994091808795929        -1.0649399161338806      1.1633280515670776       0.8293747305870056       382.562744140625         -0.15159344673156738     2.2827978134155273       0.6105247139930725       0.1720072478055954       0.33447831869125366      0.3703782260417938       1.0                      
1100                     0.619380623333984        72155136                 75.9976806640625         474.8901824951172        2176                     100.3060073852539        489.7390594482422        12451                    8.43066120147705         6.084715366363525        -0.015358594711869955    0.0886993408203125       1.0005255937576294       2.3518152374890633e-05   0.4722610265016556       0.02256007120013237      0.993847668170929        0.999438464641571        -1.0478385090827942      1.113128662109375        0.8155041933059692       381.5929260253906        -0.10109667479991913     2.503631591796875        0.6475599408149719       0.1546705663204193       0.33465108275413513      0.36906513571739197      1.0                      
1200                     0.6722336709168222       78708736                 78.0503158569336         510.2478942871094        2111                     99.54072189331055        494.9208526611328        12369                    7.054037094116211        4.727196455001831        -0.014522784855216742    0.09996338188648224      1.0007211565971375       4.123396320210304e-05    0.46827247738838196      0.022927889600396156     0.993817150592804        0.9993042051792145       -1.066026508808136       1.143200397491455        0.7933549284934998       380.5912780761719        -0.04193635657429695     2.2076282501220703       0.6312380731105804       0.16705337166786194      0.33472034335136414      0.36771076917648315      1.0                      
1300                     0.7295622467001279       85262336                 80.6831169128418         497.56634521484375       2127                     101.2582893371582        503.1086120605469        12160                    7.754974603652954        5.479468584060669        -0.013017572811804712    0.09316406399011612      1.0010204911231995       9.437145490664989e-05    0.4577045738697052       0.022970923222601414     0.9936767816543579       0.9974548518657684       -1.1543887257575989      1.152487874031067        0.7768347263336182       379.5863037109375        -0.39501655101776123     2.396341562271118        0.5437539517879486       0.1585037186741829       0.3347547948360443       0.36649009585380554      1.0                      
1400                     0.782231720023685        91815936                 86.14630889892578        495.09014892578125       2144                     106.7402572631836        502.69325256347656       12130                    7.117428302764893        4.868899345397949        -0.014880180617183214    0.11690673977136612      1.000086098909378        5.9956422774121165e-05   0.4526819586753845       0.023050082847476006     0.9938720762729645       0.997052013874054        -1.1628209948539734      1.187037706375122        0.7627730369567871       378.5665283203125        -0.26414334774017334     2.253580331802368        0.5479327738285065       0.16384297609329224      0.3348143994808197       0.3654250204563141       1.0                      
1500                     0.8348736729224523       98369536                 97.59905242919922        516.0237274169922        2110                     110.25905227661133       508.68653869628906       12011                    8.655852794647217        6.414477586746216        -0.009584980201907456    0.06950683519244194      1.000193476676941        1.2954936551068386e-05   0.4501922279596329       0.0233507277444005       0.9942382872104645       1.0                      -1.1485294699668884      1.19965660572052         0.7469151616096497       377.5324401855469        -0.1580827236175537      2.592064619064331        0.5731612145900726       0.15718214213848114      0.33486637473106384      0.36439934372901917      1.0                      
1600                     0.8855229343308343       104923136                98.46661758422852        519.9965515136719        2108                     117.31764602661133       518.3354187011719        11782                    8.730926990509033        6.54444146156311         -0.020521611790172756    0.07787170261144638      1.0005505681037903       1.4329373811960977e-05   0.4414014667272568       0.023525992408394814     0.9937072992324829       1.0                      -1.2069639563560486      1.2285795211791992       0.7204810976982117       376.4560241699219        -0.4351423382759094      2.617492914199829        0.515436589717865        0.1646815538406372       0.33487245440483093      0.36417993903160095      1.0                      
