root	case	variant	case_type	case_kind	status	visual_kind	char_file	mesh_detected	frames	frame_stride	expected_image_count	image_count	resumed	dry_run	arg_file	model_file	env_config	engine_config	agent_config	llc_model_file	motion_id	motion_file	source_pack	category	train_enabled	view_enabled	out_dir	out_dir_rel	render_dir	render_meta	error
ase_7case_tmux_20260415_013617	ase_getup_humanoid_sword_shield_args.txt	ase_getup_humanoid_sword_shield_l2	trainable	policy	error	geom	/root/Project/MimicKit/data/assets/sword_shield/humanoid_sword_shield.xml	0	300	5	60	0	0	0	/root/Project/MimicKit/args/ase_getup_humanoid_sword_shield_args.txt	/root/Project/MimicKit/output/train/ase_7case_tmux_20260415_013617/ase_getup_humanoid_sword_shield_l2/model.pt	/root/Project/MimicKit/output/train/ase_7case_tmux_20260415_013617/ase_getup_humanoid_sword_shield_l2/env_config.yaml	/root/Project/MimicKit/output/train/ase_7case_tmux_20260415_013617/ase_getup_humanoid_sword_shield_l2/engine_config.yaml	/root/Project/MimicKit/output/train/ase_7case_tmux_20260415_013617/ase_getup_humanoid_sword_shield_l2/agent_config.yaml				ase_7case_tmux_20260415_013617	ase_getup_humanoid_sword_shield	true	true	/root/Project/MimicKit/output/train/ase_7case_tmux_20260415_013617/ase_getup_humanoid_sword_shield_l2	ase_getup_humanoid_sword_shield_l2	/root/Project/MimicKit/output/img/ase_7case_tmux_20260415_013617/ase_getup_humanoid_sword_shield_l2/render	/root/Project/MimicKit/output/img/ase_7case_tmux_20260415_013617/ase_getup_humanoid_sword_shield_l2/render/render_meta.json	"NoSuchDisplayException: Cannot connect to ""None"""
ase_7case_tmux_20260415_013617	ase_heading_humanoid_sword_shield_args.txt	ase_heading_humanoid_sword_shield_l2_resume08	trainable	policy	error	geom	/root/Project/MimicKit/data/assets/sword_shield/humanoid_sword_shield.xml	0	300	5	60	0	0	0	/root/Project/MimicKit/args/ase_heading_humanoid_sword_shield_args.txt	/root/Project/MimicKit/output/train/ase_7case_tmux_20260415_013617/ase_heading_humanoid_sword_shield_l2_resume08/model.pt	/root/Project/MimicKit/output/train/ase_7case_tmux_20260415_013617/ase_heading_humanoid_sword_shield_l2_resume08/env_config.yaml	/root/Project/MimicKit/output/train/ase_7case_tmux_20260415_013617/ase_heading_humanoid_sword_shield_l2_resume08/engine_config.yaml	/root/Project/MimicKit/output/train/ase_7case_tmux_20260415_013617/ase_heading_humanoid_sword_shield_l2_resume08/agent_config.yaml	/root/Project/MimicKit/output/train/ase_7case_tmux_20260415_013617/ase_humanoid_sword_shield_l2/model.pt			ase_7case_tmux_20260415_013617	ase_heading_humanoid_sword_shield	true	true	/root/Project/MimicKit/output/train/ase_7case_tmux_20260415_013617/ase_heading_humanoid_sword_shield_l2_resume08	ase_heading_humanoid_sword_shield_l2_resume08	/root/Project/MimicKit/output/img/ase_7case_tmux_20260415_013617/ase_heading_humanoid_sword_shield_l2_resume08/render	/root/Project/MimicKit/output/img/ase_7case_tmux_20260415_013617/ase_heading_humanoid_sword_shield_l2_resume08/render/render_meta.json	"NoSuchDisplayException: Cannot connect to ""None"""
ase_7case_tmux_20260415_013617	ase_humanoid_args.txt	ase_humanoid_l2_resume05	trainable	policy	error	geom	/root/Project/MimicKit/data/assets/humanoid/humanoid.xml	0	300	5	60	0	0	0	/root/Project/MimicKit/args/ase_humanoid_args.txt	/root/Project/MimicKit/output/train/ase_7case_tmux_20260415_013617/ase_humanoid_l2_resume05/model.pt	/root/Project/MimicKit/output/train/ase_7case_tmux_20260415_013617/ase_humanoid_l2_resume05/env_config.yaml	/root/Project/MimicKit/output/train/ase_7case_tmux_20260415_013617/ase_humanoid_l2_resume05/engine_config.yaml	/root/Project/MimicKit/output/train/ase_7case_tmux_20260415_013617/ase_humanoid_l2_resume05/agent_config.yaml				ase_7case_tmux_20260415_013617	ase_humanoid	true	true	/root/Project/MimicKit/output/train/ase_7case_tmux_20260415_013617/ase_humanoid_l2_resume05	ase_humanoid_l2_resume05	/root/Project/MimicKit/output/img/ase_7case_tmux_20260415_013617/ase_humanoid_l2_resume05/render	/root/Project/MimicKit/output/img/ase_7case_tmux_20260415_013617/ase_humanoid_l2_resume05/render/render_meta.json	"NoSuchDisplayException: Cannot connect to ""None"""
ase_7case_tmux_20260415_013617	ase_humanoid_sword_shield_args.txt	ase_humanoid_sword_shield_l2	trainable	policy	error	geom	/root/Project/MimicKit/data/assets/sword_shield/humanoid_sword_shield.xml	0	300	5	60	0	0	0	/root/Project/MimicKit/args/ase_humanoid_sword_shield_args.txt	/root/Project/MimicKit/output/train/ase_7case_tmux_20260415_013617/ase_humanoid_sword_shield_l2/model.pt	/root/Project/MimicKit/output/train/ase_7case_tmux_20260415_013617/ase_humanoid_sword_shield_l2/env_config.yaml	/root/Project/MimicKit/output/train/ase_7case_tmux_20260415_013617/ase_humanoid_sword_shield_l2/engine_config.yaml	/root/Project/MimicKit/output/train/ase_7case_tmux_20260415_013617/ase_humanoid_sword_shield_l2/agent_config.yaml				ase_7case_tmux_20260415_013617	ase_humanoid_sword_shield	true	true	/root/Project/MimicKit/output/train/ase_7case_tmux_20260415_013617/ase_humanoid_sword_shield_l2	ase_humanoid_sword_shield_l2	/root/Project/MimicKit/output/img/ase_7case_tmux_20260415_013617/ase_humanoid_sword_shield_l2/render	/root/Project/MimicKit/output/img/ase_7case_tmux_20260415_013617/ase_humanoid_sword_shield_l2/render/render_meta.json	"NoSuchDisplayException: Cannot connect to ""None"""
ase_7case_tmux_20260415_013617	ase_location_humanoid_sword_shield_args.txt	ase_location_humanoid_sword_shield_l2	trainable	policy	error	geom	/root/Project/MimicKit/data/assets/sword_shield/humanoid_sword_shield.xml	0	300	5	60	0	0	0	/root/Project/MimicKit/args/ase_location_humanoid_sword_shield_args.txt	/root/Project/MimicKit/output/train/ase_7case_tmux_20260415_013617/ase_location_humanoid_sword_shield_l2/model.pt	/root/Project/MimicKit/output/train/ase_7case_tmux_20260415_013617/ase_location_humanoid_sword_shield_l2/env_config.yaml	/root/Project/MimicKit/output/train/ase_7case_tmux_20260415_013617/ase_location_humanoid_sword_shield_l2/engine_config.yaml	/root/Project/MimicKit/output/train/ase_7case_tmux_20260415_013617/ase_location_humanoid_sword_shield_l2/agent_config.yaml	/root/Project/MimicKit/output/train/ase_7case_tmux_20260415_013617/ase_humanoid_sword_shield_l2/model.pt			ase_7case_tmux_20260415_013617	ase_location_humanoid_sword_shield	true	true	/root/Project/MimicKit/output/train/ase_7case_tmux_20260415_013617/ase_location_humanoid_sword_shield_l2	ase_location_humanoid_sword_shield_l2	/root/Project/MimicKit/output/img/ase_7case_tmux_20260415_013617/ase_location_humanoid_sword_shield_l2/render	/root/Project/MimicKit/output/img/ase_7case_tmux_20260415_013617/ase_location_humanoid_sword_shield_l2/render/render_meta.json	"NoSuchDisplayException: Cannot connect to ""None"""
ase_7case_tmux_20260415_013617	ase_reach_humanoid_sword_shield_args.txt	ase_reach_humanoid_sword_shield_l2	trainable	policy	error	geom	/root/Project/MimicKit/data/assets/sword_shield/humanoid_sword_shield.xml	0	300	5	60	0	0	0	/root/Project/MimicKit/args/ase_reach_humanoid_sword_shield_args.txt	/root/Project/MimicKit/output/train/ase_7case_tmux_20260415_013617/ase_reach_humanoid_sword_shield_l2/model.pt	/root/Project/MimicKit/output/train/ase_7case_tmux_20260415_013617/ase_reach_humanoid_sword_shield_l2/env_config.yaml	/root/Project/MimicKit/output/train/ase_7case_tmux_20260415_013617/ase_reach_humanoid_sword_shield_l2/engine_config.yaml	/root/Project/MimicKit/output/train/ase_7case_tmux_20260415_013617/ase_reach_humanoid_sword_shield_l2/agent_config.yaml	/root/Project/MimicKit/output/train/ase_7case_tmux_20260415_013617/ase_humanoid_sword_shield_l2/model.pt			ase_7case_tmux_20260415_013617	ase_reach_humanoid_sword_shield	true	true	/root/Project/MimicKit/output/train/ase_7case_tmux_20260415_013617/ase_reach_humanoid_sword_shield_l2	ase_reach_humanoid_sword_shield_l2	/root/Project/MimicKit/output/img/ase_7case_tmux_20260415_013617/ase_reach_humanoid_sword_shield_l2/render	/root/Project/MimicKit/output/img/ase_7case_tmux_20260415_013617/ase_reach_humanoid_sword_shield_l2/render/render_meta.json	"NoSuchDisplayException: Cannot connect to ""None"""
ase_7case_tmux_20260415_013617	ase_strike_humanoid_sword_shield_args.txt	ase_strike_humanoid_sword_shield_l2	trainable	policy	error	geom	/root/Project/MimicKit/data/assets/sword_shield/humanoid_sword_shield.xml	0	300	5	60	0	0	0	/root/Project/MimicKit/args/ase_strike_humanoid_sword_shield_args.txt	/root/Project/MimicKit/output/train/ase_7case_tmux_20260415_013617/ase_strike_humanoid_sword_shield_l2/model.pt	/root/Project/MimicKit/output/train/ase_7case_tmux_20260415_013617/ase_strike_humanoid_sword_shield_l2/env_config.yaml	/root/Project/MimicKit/output/train/ase_7case_tmux_20260415_013617/ase_strike_humanoid_sword_shield_l2/engine_config.yaml	/root/Project/MimicKit/output/train/ase_7case_tmux_20260415_013617/ase_strike_humanoid_sword_shield_l2/agent_config.yaml	/root/Project/MimicKit/output/train/ase_7case_tmux_20260415_013617/ase_humanoid_sword_shield_l2/model.pt			ase_7case_tmux_20260415_013617	ase_strike_humanoid_sword_shield	true	true	/root/Project/MimicKit/output/train/ase_7case_tmux_20260415_013617/ase_strike_humanoid_sword_shield_l2	ase_strike_humanoid_sword_shield_l2	/root/Project/MimicKit/output/img/ase_7case_tmux_20260415_013617/ase_strike_humanoid_sword_shield_l2/render	/root/Project/MimicKit/output/img/ase_7case_tmux_20260415_013617/ase_strike_humanoid_sword_shield_l2/render/render_meta.json	"NoSuchDisplayException: Cannot connect to ""None"""
