root	case	variant	case_type	case_kind	status	visual_kind	char_file	mesh_detected	frames	frame_stride	expected_image_count	image_count	resumed	dry_run	arg_file	model_file	env_config	engine_config	agent_config	out_dir	out_dir_rel	render_dir	render_meta	error
case_longcycle_full_20260212_211318	add_g1_args.txt	default	trainable	policy	skipped_resume	mesh	/root/Project/MimicKit/data/assets/g1/g1.xml	1	300	5	60	60	1	0	/root/Project/MimicKit/args/add_g1_args.txt	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/add_g1_args/default_e512/long_train/model.pt	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/add_g1_args/default_e512/long_train/env_config.yaml	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/add_g1_args/default_e512/long_train/engine_config.yaml	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/add_g1_args/default_e512/long_train/agent_config.yaml	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/add_g1_args/default_e512	runs/add_g1_args/default_e512	/root/Project/MimicKit/output/img/case_longcycle_full_20260212_211318/runs/add_g1_args/default_e512/render	/root/Project/MimicKit/output/img/case_longcycle_full_20260212_211318/runs/add_g1_args/default_e512/render/render_meta.json	
case_longcycle_full_20260212_211318	add_go2_args.txt	default	trainable	policy	skipped_resume	mesh	/root/Project/MimicKit/data/assets/go2/go2.xml	1	300	5	60	60	1	0	/root/Project/MimicKit/args/add_go2_args.txt	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/add_go2_args/default_e512/long_train/model.pt	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/add_go2_args/default_e512/long_train/env_config.yaml	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/add_go2_args/default_e512/long_train/engine_config.yaml	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/add_go2_args/default_e512/long_train/agent_config.yaml	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/add_go2_args/default_e512	runs/add_go2_args/default_e512	/root/Project/MimicKit/output/img/case_longcycle_full_20260212_211318/runs/add_go2_args/default_e512/render	/root/Project/MimicKit/output/img/case_longcycle_full_20260212_211318/runs/add_go2_args/default_e512/render/render_meta.json	
case_longcycle_full_20260212_211318	add_humanoid_args.txt	default	trainable	policy	skipped_resume	geom	/root/Project/MimicKit/data/assets/humanoid/humanoid.xml	0	300	5	60	60	1	0	/root/Project/MimicKit/args/add_humanoid_args.txt	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/add_humanoid_args/default_e512/long_train/model.pt	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/add_humanoid_args/default_e512/long_train/env_config.yaml	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/add_humanoid_args/default_e512/long_train/engine_config.yaml	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/add_humanoid_args/default_e512/long_train/agent_config.yaml	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/add_humanoid_args/default_e512	runs/add_humanoid_args/default_e512	/root/Project/MimicKit/output/img/case_longcycle_full_20260212_211318/runs/add_humanoid_args/default_e512/render	/root/Project/MimicKit/output/img/case_longcycle_full_20260212_211318/runs/add_humanoid_args/default_e512/render/render_meta.json	
case_longcycle_full_20260212_211318	add_pi_plus_args.txt	hiutil	trainable	policy	skipped_resume	mesh	/root/Project/MimicKit/data/assets/hightorque_pi_plus/pi_22dof.xml	1	300	5	60	60	1	0	/root/Project/MimicKit/args/add_pi_plus_args.txt	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/add_pi_plus_args/hiutil_e40/long_train/model.pt	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/add_pi_plus_args/hiutil_e40/long_train/env_config.yaml	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/add_pi_plus_args/hiutil_e40/long_train/engine_config.yaml	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/add_pi_plus_args/hiutil_e40/long_train/agent_config.yaml	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/add_pi_plus_args/hiutil_e40	runs/add_pi_plus_args/hiutil_e40	/root/Project/MimicKit/output/img/case_longcycle_full_20260212_211318/runs/add_pi_plus_args/hiutil_e40/render	/root/Project/MimicKit/output/img/case_longcycle_full_20260212_211318/runs/add_pi_plus_args/hiutil_e40/render/render_meta.json	
case_longcycle_full_20260212_211318	add_smpl_args.txt	default	trainable	policy	skipped_resume	geom	/root/Project/MimicKit/data/assets/smpl/smpl.xml	0	300	5	60	60	1	0	/root/Project/MimicKit/args/add_smpl_args.txt	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/add_smpl_args/default_e512/long_train/model.pt	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/add_smpl_args/default_e512/long_train/env_config.yaml	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/add_smpl_args/default_e512/long_train/engine_config.yaml	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/add_smpl_args/default_e512/long_train/agent_config.yaml	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/add_smpl_args/default_e512	runs/add_smpl_args/default_e512	/root/Project/MimicKit/output/img/case_longcycle_full_20260212_211318/runs/add_smpl_args/default_e512/render	/root/Project/MimicKit/output/img/case_longcycle_full_20260212_211318/runs/add_smpl_args/default_e512/render/render_meta.json	
case_longcycle_full_20260212_211318	amp_g1_args.txt	default	trainable	policy	skipped_resume	mesh	/root/Project/MimicKit/data/assets/g1/g1.xml	1	300	5	60	60	1	0	/root/Project/MimicKit/args/amp_g1_args.txt	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/amp_g1_args/default_e512/long_train/model.pt	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/amp_g1_args/default_e512/long_train/env_config.yaml	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/amp_g1_args/default_e512/long_train/engine_config.yaml	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/amp_g1_args/default_e512/long_train/agent_config.yaml	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/amp_g1_args/default_e512	runs/amp_g1_args/default_e512	/root/Project/MimicKit/output/img/case_longcycle_full_20260212_211318/runs/amp_g1_args/default_e512/render	/root/Project/MimicKit/output/img/case_longcycle_full_20260212_211318/runs/amp_g1_args/default_e512/render/render_meta.json	
case_longcycle_full_20260212_211318	amp_go2_args.txt	default	trainable	policy	skipped_resume	mesh	/root/Project/MimicKit/data/assets/go2/go2.xml	1	300	5	60	60	1	0	/root/Project/MimicKit/args/amp_go2_args.txt	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/amp_go2_args/default_e512/long_train/model.pt	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/amp_go2_args/default_e512/long_train/env_config.yaml	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/amp_go2_args/default_e512/long_train/engine_config.yaml	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/amp_go2_args/default_e512/long_train/agent_config.yaml	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/amp_go2_args/default_e512	runs/amp_go2_args/default_e512	/root/Project/MimicKit/output/img/case_longcycle_full_20260212_211318/runs/amp_go2_args/default_e512/render	/root/Project/MimicKit/output/img/case_longcycle_full_20260212_211318/runs/amp_go2_args/default_e512/render/render_meta.json	
case_longcycle_full_20260212_211318	amp_humanoid_args.txt	default	trainable	policy	skipped_resume	geom	/root/Project/MimicKit/data/assets/humanoid/humanoid.xml	0	300	5	60	60	1	0	/root/Project/MimicKit/args/amp_humanoid_args.txt	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/amp_humanoid_args/default_e512/long_train/model.pt	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/amp_humanoid_args/default_e512/long_train/env_config.yaml	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/amp_humanoid_args/default_e512/long_train/engine_config.yaml	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/amp_humanoid_args/default_e512/long_train/agent_config.yaml	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/amp_humanoid_args/default_e512	runs/amp_humanoid_args/default_e512	/root/Project/MimicKit/output/img/case_longcycle_full_20260212_211318/runs/amp_humanoid_args/default_e512/render	/root/Project/MimicKit/output/img/case_longcycle_full_20260212_211318/runs/amp_humanoid_args/default_e512/render/render_meta.json	
case_longcycle_full_20260212_211318	amp_location_humanoid_args.txt	default	trainable	policy	skipped_resume	geom	/root/Project/MimicKit/data/assets/humanoid/humanoid.xml	0	300	5	60	60	1	0	/root/Project/MimicKit/args/amp_location_humanoid_args.txt	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/amp_location_humanoid_args/default_e512/long_train/model.pt	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/amp_location_humanoid_args/default_e512/long_train/env_config.yaml	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/amp_location_humanoid_args/default_e512/long_train/engine_config.yaml	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/amp_location_humanoid_args/default_e512/long_train/agent_config.yaml	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/amp_location_humanoid_args/default_e512	runs/amp_location_humanoid_args/default_e512	/root/Project/MimicKit/output/img/case_longcycle_full_20260212_211318/runs/amp_location_humanoid_args/default_e512/render	/root/Project/MimicKit/output/img/case_longcycle_full_20260212_211318/runs/amp_location_humanoid_args/default_e512/render/render_meta.json	
case_longcycle_full_20260212_211318	amp_location_humanoid_sword_shield_args.txt	default	trainable	policy	skipped_resume	geom	/root/Project/MimicKit/data/assets/sword_shield/humanoid_sword_shield.xml	0	300	5	60	60	1	0	/root/Project/MimicKit/args/amp_location_humanoid_sword_shield_args.txt	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/amp_location_humanoid_sword_shield_args/default_e512/long_train/model.pt	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/amp_location_humanoid_sword_shield_args/default_e512/long_train/env_config.yaml	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/amp_location_humanoid_sword_shield_args/default_e512/long_train/engine_config.yaml	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/amp_location_humanoid_sword_shield_args/default_e512/long_train/agent_config.yaml	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/amp_location_humanoid_sword_shield_args/default_e512	runs/amp_location_humanoid_sword_shield_args/default_e512	/root/Project/MimicKit/output/img/case_longcycle_full_20260212_211318/runs/amp_location_humanoid_sword_shield_args/default_e512/render	/root/Project/MimicKit/output/img/case_longcycle_full_20260212_211318/runs/amp_location_humanoid_sword_shield_args/default_e512/render/render_meta.json	
case_longcycle_full_20260212_211318	amp_pi_plus_args.txt	hiutil	trainable	policy	skipped_resume	mesh	/root/Project/MimicKit/data/assets/hightorque_pi_plus/pi_22dof.xml	1	300	5	60	60	1	0	/root/Project/MimicKit/args/amp_pi_plus_args.txt	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/amp_pi_plus_args/hiutil_e36/long_train/model.pt	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/amp_pi_plus_args/hiutil_e36/long_train/env_config.yaml	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/amp_pi_plus_args/hiutil_e36/long_train/engine_config.yaml	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/amp_pi_plus_args/hiutil_e36/long_train/agent_config.yaml	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/amp_pi_plus_args/hiutil_e36	runs/amp_pi_plus_args/hiutil_e36	/root/Project/MimicKit/output/img/case_longcycle_full_20260212_211318/runs/amp_pi_plus_args/hiutil_e36/render	/root/Project/MimicKit/output/img/case_longcycle_full_20260212_211318/runs/amp_pi_plus_args/hiutil_e36/render/render_meta.json	
case_longcycle_full_20260212_211318	amp_smpl_args.txt	default	trainable	policy	skipped_resume	geom	/root/Project/MimicKit/data/assets/smpl/smpl.xml	0	300	5	60	60	1	0	/root/Project/MimicKit/args/amp_smpl_args.txt	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/amp_smpl_args/default_e512/long_train/model.pt	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/amp_smpl_args/default_e512/long_train/env_config.yaml	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/amp_smpl_args/default_e512/long_train/engine_config.yaml	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/amp_smpl_args/default_e512/long_train/agent_config.yaml	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/amp_smpl_args/default_e512	runs/amp_smpl_args/default_e512	/root/Project/MimicKit/output/img/case_longcycle_full_20260212_211318/runs/amp_smpl_args/default_e512/render	/root/Project/MimicKit/output/img/case_longcycle_full_20260212_211318/runs/amp_smpl_args/default_e512/render/render_meta.json	
case_longcycle_full_20260212_211318	amp_steering_humanoid_args.txt	default	trainable	policy	skipped_resume	geom	/root/Project/MimicKit/data/assets/humanoid/humanoid.xml	0	300	5	60	60	1	0	/root/Project/MimicKit/args/amp_steering_humanoid_args.txt	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/amp_steering_humanoid_args/default_e512/long_train/model.pt	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/amp_steering_humanoid_args/default_e512/long_train/env_config.yaml	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/amp_steering_humanoid_args/default_e512/long_train/engine_config.yaml	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/amp_steering_humanoid_args/default_e512/long_train/agent_config.yaml	/root/Project/MimicKit/output/train/case_longcycle_full_20260212_211318/runs/amp_steering_humanoid_args/default_e512	runs/amp_steering_humanoid_args/default_e512	/root/Project/MimicKit/output/img/case_longcycle_full_20260212_211318/runs/amp_steering_humanoid_args/default_e512/render	/root/Project/MimicKit/output/img/case_longcycle_full_20260212_211318/runs/amp_steering_humanoid_args/default_e512/render/render_meta.json	
